name,eye_x,eye_y,eye_z,up_x,up_y,up_z,fov_deg
front,0.0,-1.75,1.15,0,0,1,48
front_right,1.237436867076458,-1.2374368670764582,1.15,0,0,1,48
right,1.75,-1.071565949253934e-16,1.15,0,0,1,48
back_right,1.2374368670764582,1.237436867076458,1.15,0,0,1,48
back,2.143131898507868e-16,1.75,1.15,0,0,1,48
back_left,-1.237436867076458,1.2374368670764584,1.15,0,0,1,48
left,-1.75,3.214697847761802e-16,1.15,0,0,1,48
front_left,-1.2374368670764584,-1.237436867076458,1.15,0,0,1,48
top,0.0,0.0,2.65,0,1,0,42
top_oblique,0.75,-0.75,2.35,0,0,1,46
low_front_left,-0.9,-1.35,0.87,0,0,1,40
low_back_right,0.9,1.35,0.87,0,0,1,40
