time,soft_z_min,soft_z_max,soft_z_span,soft_xy_radius,soft_center_x,soft_center_y,soft_center_z
0.000000000000000000e+00,1.084999999999999964e+00,1.415000000000000036e+00,3.300000000000000711e-01,1.672380129856230191e-01,-2.234126807352162462e-03,1.140095768728470026e-03,1.250114228308736530e+00
1.666666666666666644e-02,1.083297456597222208e+00,1.413297456597222279e+00,3.300000000000000711e-01,1.672380129856230191e-01,-2.234126807352162462e-03,1.140095768728470460e-03,1.248411684905959884e+00
3.333333333333333287e-02,1.078870843750000086e+00,1.408870843750000157e+00,3.300000000000000711e-01,1.672380129856230191e-01,-2.234126807352165497e-03,1.140095768728470460e-03,1.243985072058737318e+00
5.000000000000000278e-02,1.071720161458333376e+00,1.401720161458333447e+00,3.300000000000000711e-01,1.672380129856230191e-01,-2.234126807352169834e-03,1.140095768728471978e-03,1.236834389767068609e+00
6.666666666666666574e-02,1.061845409722222300e+00,1.391845409722222371e+00,3.300000000000000711e-01,1.672380129856230191e-01,-2.234126807352168533e-03,1.140095768728469593e-03,1.226959638030958866e+00
8.333333333333332871e-02,1.049246588541666858e+00,1.379246588541666929e+00,3.300000000000000711e-01,1.672380129856230746e-01,-2.234126807352196289e-03,1.140095768728468508e-03,1.214360816850402092e+00
1.000000000000000056e-01,1.033923697916666606e+00,1.363923697916666899e+00,3.300000000000002931e-01,1.672380129856231579e-01,-2.234126807352184579e-03,1.140095768728469159e-03,1.199037926225401174e+00
1.166666666666666685e-01,1.015876737847222211e+00,1.345876737847222282e+00,3.300000000000000711e-01,1.672380129856231579e-01,-2.234126807352211468e-03,1.140095768728470243e-03,1.180990966155957445e+00
1.333333333333333315e-01,9.951057083333335607e-01,1.325105708333333521e+00,3.299999999999999600e-01,1.672380129856227970e-01,-2.234126807352219274e-03,1.140095768728469810e-03,1.160219936642071126e+00
1.499999999999999944e-01,9.716106093750001005e-01,1.301610609375000394e+00,3.300000000000002931e-01,1.672380129856229636e-01,-2.234126807352173304e-03,1.140095768728470026e-03,1.136724837683735112e+00
1.666666666666666574e-01,9.453914409722223855e-01,1.275391440972222235e+00,3.299999999999998490e-01,1.672380129856230468e-01,-2.234126807352197590e-03,1.140095768728470460e-03,1.110505669280958951e+00
1.833333333333333204e-01,9.164482031250003047e-01,1.246448203125000154e+00,3.299999999999998490e-01,1.672380129856230191e-01,-2.234126807352188916e-03,1.140095768728469810e-03,1.081562431433735094e+00
2.000000000000000111e-01,8.847808958333334139e-01,1.214780895833333707e+00,3.300000000000002931e-01,1.672380129856230468e-01,-2.234126807352199325e-03,1.140095768728471327e-03,1.049895124142070424e+00
2.166666666666666741e-01,8.503895190972221574e-01,1.180389519097222006e+00,3.299999999999998490e-01,1.672380129856231024e-01,-2.234126807352186748e-03,1.140095768728469593e-03,1.015503747405957391e+00
2.333333333333333370e-01,8.132740729166666460e-01,1.143274072916666606e+00,3.299999999999999600e-01,1.672380129856228803e-01,-2.234126807352187181e-03,1.140095768728470460e-03,9.783883012254046552e-01
2.500000000000000000e-01,7.734345572916669909e-01,1.103434557291667062e+00,3.300000000000000711e-01,1.672380129856231024e-01,-2.234126807352164196e-03,1.140095768728469810e-03,9.385487856004018914e-01
2.666666666666666630e-01,7.559999999605262477e-01,1.063916323950086840e+00,3.079163239895605919e-01,1.672444540495574283e-01,-2.236031150056127549e-03,1.142291836973979846e-03,9.016096666259760806e-01
2.833333333333333259e-01,7.552046154444214121e-01,1.043684278903663998e+00,2.884796634592425857e-01,1.673879716647543869e-01,-2.248812278369422338e-03,1.145092819389308039e-03,8.868715771074259235e-01
2.999999999999999889e-01,7.553790043344260630e-01,1.036669615025469282e+00,2.812906106910432191e-01,1.676552028201533373e-01,-2.267557601191723480e-03,1.147281397650704027e-03,8.820428641264972391e-01
3.166666666666666519e-01,7.555151582954160450e-01,1.034071454055971007e+00,2.785562957605549617e-01,1.679608030573051802e-01,-2.286889339057678050e-03,1.149501444717340682e-03,8.802200998953734201e-01
3.333333333333333148e-01,7.556214603824820131e-01,1.032703378888050860e+00,2.770819185055688472e-01,1.682708817491946063e-01,-2.310870656023858525e-03,1.143550353809397050e-03,8.792220745945406035e-01
