time,x,y,z,vx,vy,vz,num_table_contacts
0.000000000000000000e+00,-1.199999999999999956e-01,-4.000000000000000083e-02,1.550000000000000044e+00,8.000000000000000167e-02,2.999999999999999889e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.083333333333333304e-03,-1.198333476230061256e-01,-3.993750535862729961e-02,1.549968077792717835e+00,7.999085400764748000e-02,2.999657025286779979e-02,-2.043005857421236263e-02,0.000000000000000000e+00
4.166666666666666609e-03,-1.196667144152431667e-01,-3.987501790571618132e-02,1.549893596644540184e+00,7.998163179557121749e-02,2.999311192333919962e-02,-4.085775974448512676e-02,0.000000000000000000e+00
6.250000000000000347e-03,-1.195001007356789602e-01,-3.981253777587959869e-02,1.549776561629990779e+00,7.997220569583098071e-02,2.998957713593661256e-02,-6.128299736112746698e-02,0.000000000000000000e+00
8.333333333333333218e-03,-1.193335071695509342e-01,-3.975006518858158894e-02,1.549616978167323689e+00,7.996247354679482389e-02,2.998592758004805375e-02,-8.170558736944183442e-02,0.000000000000000000e+00
1.041666666666666609e-02,-1.191669344722339069e-01,-3.968760042708770197e-02,1.549414852137262821e+00,7.995236043691836270e-02,2.998213516384438254e-02,-1.021252955987273364e-01,0.000000000000000000e+00
1.250000000000000069e-02,-1.190003835203669175e-01,-3.962514382013758441e-02,1.549170189953986920e+00,7.994181360422300542e-02,2.997818010158363050e-02,-1.225418589865191615e-01,0.000000000000000000e+00
1.458333333333333356e-02,-1.188338552755072303e-01,-3.956269572831520170e-02,1.548882998604882655e+00,7.993079618250779894e-02,2.997404856844042287e-02,-1.429549985302933923e-01,0.000000000000000000e+00
1.666666666666666644e-02,-1.186673507589236509e-01,-3.950025653459635772e-02,1.548553285672426671e+00,7.991928216957691622e-02,2.996973081359134358e-02,-1.633644264616782027e-01,0.000000000000000000e+00
1.874999999999999931e-02,-1.185008710344908067e-01,-3.943782663793404114e-02,1.548181059346332100e+00,7.990725291460756829e-02,2.996521984297783811e-02,-1.837698501202106593e-01,0.000000000000000000e+00
2.083333333333333218e-02,-1.183344171970454328e-01,-3.937540644889202246e-02,1.547766328430400629e+00,7.989469478562136184e-02,2.996051054460801069e-02,-2.041709740690438590e-01,0.000000000000000000e+00
2.291666666666666505e-02,-1.181679903643429869e-01,-3.931299638662860002e-02,1.547309102346431375e+00,7.988159763673004232e-02,2.995559911377376761e-02,-2.245675012844601526e-01,0.000000000000000000e+00
2.500000000000000139e-02,-1.180015916713918755e-01,-3.925059687677193154e-02,1.546809391136432676e+00,7.986795379337614798e-02,2.995048267251605723e-02,-2.449591338496071580e-01,0.000000000000000000e+00
2.708333333333333426e-02,-1.178352222663781590e-01,-3.918820834989179130e-02,1.546267205463820238e+00,7.985375737007341379e-02,2.994515901377753364e-02,-2.653455733754744306e-01,0.000000000000000000e+00
2.916666666666666713e-02,-1.176688833076732082e-01,-3.912583124037743998e-02,1.545682556613980463e+00,7.983900380312354550e-02,2.993962642617132783e-02,-2.857265212670183074e-01,0.000000000000000000e+00
3.125000000000000000e-02,-1.175025759615929144e-01,-3.906346598559733152e-02,1.545055456494425217e+00,7.982368952435114906e-02,2.993388357163167743e-02,-3.061016788985323478e-01,0.000000000000000000e+00
3.333333333333333287e-02,-1.173363014006885419e-01,-3.900111302525819529e-02,1.544385917634665928e+00,7.980781172897183362e-02,2.992792939836443067e-02,-3.264707477341770581e-01,0.000000000000000000e+00
3.541666666666666574e-02,-1.171700608024205253e-01,-3.893877280090769083e-02,1.543673953185889847e+00,7.979136820745769132e-02,2.992176307779663078e-02,-3.468334294144070906e-01,0.000000000000000000e+00
3.749999999999999861e-02,-1.170038553481128479e-01,-3.887644575554230486e-02,1.542919576920491975e+00,7.977435722170692078e-02,2.991538395814009182e-02,-3.671894258206213069e-01,0.000000000000000000e+00
3.958333333333333148e-02,-1.168376862221163770e-01,-3.881413233329363000e-02,1.542122803231493533e+00,7.975677741242130636e-02,2.990879152965798468e-02,-3.875384391255606298e-01,0.000000000000000000e+00
4.166666666666666435e-02,-1.166715546111300600e-01,-3.875183297917376285e-02,1.541283647131871604e+00,7.973862772882978067e-02,2.990198539831116428e-02,-4.078801718341650839e-01,0.000000000000000000e+00
4.374999999999999722e-02,-1.165054617036429124e-01,-3.868954813886608252e-02,1.540402124253812621e+00,7.971990737466000398e-02,2.989496526549749802e-02,-4.282143268179086082e-01,0.000000000000000000e+00
4.583333333333333010e-02,-1.163394086894698337e-01,-3.862727825855118147e-02,1.539478250847902574e+00,7.970061576609355214e-02,2.988773091228507511e-02,-4.485406073445862840e-01,0.000000000000000000e+00
4.791666666666666297e-02,-1.161733967593609057e-01,-3.856502378476032999e-02,1.538512043782259253e+00,7.968075249867785648e-02,2.988028218700418751e-02,-4.688587171048719804e-01,0.000000000000000000e+00
5.000000000000000278e-02,-1.160074271046689920e-01,-3.850278516425086756e-02,1.537503520541613655e+00,7.966031732101525042e-02,2.987261899538070850e-02,-4.891683602365419770e-01,0.000000000000000000e+00
5.208333333333333565e-02,-1.158415009170640358e-01,-3.844056284389900380e-02,1.536452699226343421e+00,7.963931011363885315e-02,2.986474129261455779e-02,-5.094692413469821268e-01,0.000000000000000000e+00
5.416666666666666852e-02,-1.156756193882849809e-01,-3.837835727060685820e-02,1.535359598551460980e+00,7.961773087190057718e-02,2.985664907696270257e-02,-5.297610655344122677e-01,0.000000000000000000e+00
5.625000000000000139e-02,-1.155097837099225838e-01,-3.831616889122095582e-02,1.534224237845559946e+00,7.959557969199335115e-02,2.984834238449749280e-02,-5.500435384081354684e-01,0.000000000000000000e+00
5.833333333333333426e-02,-1.153439950732272623e-01,-3.825399815246020852e-02,1.533046637049718885e+00,7.957285675944428260e-02,2.983982128479159557e-02,-5.703163661080341562e-01,0.000000000000000000e+00
6.041666666666666713e-02,-1.151782546689379960e-01,-3.819184550085173019e-02,1.531826816716367112e+00,7.954956233957274914e-02,2.983108587733977052e-02,-5.905792553234734399e-01,0.000000000000000000e+00
6.250000000000000000e-02,-1.150125636871285884e-01,-3.812971138267320925e-02,1.530564798008110960e+00,7.952569676952332689e-02,2.982213628857123544e-02,-6.108319133117320332e-01,0.000000000000000000e+00
6.458333333333332593e-02,-1.148469233170685277e-01,-3.806759624390068653e-02,1.529260602696522531e+00,7.950126045157066002e-02,2.981297266933898016e-02,-6.310740479160462657e-01,0.000000000000000000e+00
6.666666666666666574e-02,-1.146813347470961308e-01,-3.800550053016103769e-02,1.527914253160890912e+00,7.947625384745861388e-02,2.980359519279696112e-02,-6.513053675833359035e-01,0.000000000000000000e+00
6.875000000000000555e-02,-1.145157991645022466e-01,-3.794342468668832763e-02,1.526525772386937430e+00,7.945067747358619537e-02,2.979400405259480591e-02,-6.715255813816596309e-01,0.000000000000000000e+00
7.083333333333333148e-02,-1.143503177554228006e-01,-3.788136915828353712e-02,1.525095183965494927e+00,7.942453189689081816e-02,2.978419946133403773e-02,-6.917343990174384949e-01,0.000000000000000000e+00
7.291666666666667129e-02,-1.141848917047390555e-01,-3.781933438927714136e-02,1.523622512091150627e+00,7.939781773130927256e-02,2.977418164924095639e-02,-7.119315308524765129e-01,0.000000000000000000e+00
7.499999999999999722e-02,-1.140195221959845184e-01,-3.775732082349419344e-02,1.522107781560855022e+00,7.937053563471996309e-02,2.976395086301996881e-02,-7.321166879207995359e-01,0.000000000000000000e+00
7.708333333333333703e-02,-1.138542104112575254e-01,-3.769532890422156585e-02,1.520551017772495017e+00,7.934268630628812935e-02,2.975350736485803116e-02,-7.522895819453307986e-01,0.000000000000000000e+00
7.916666666666666297e-02,-1.136889575311388484e-01,-3.763335907417706544e-02,1.518952246723433541e+00,7.931427048414987913e-02,2.974285143155618732e-02,-7.724499253544143684e-01,0.000000000000000000e+00
8.125000000000000278e-02,-1.135237647346137163e-01,-3.757141177548014438e-02,1.517311495009013189e+00,7.928528894338286725e-02,2.973198335376855267e-02,-7.925974312981983738e-01,0.000000000000000000e+00
8.333333333333332871e-02,-1.133586331989976381e-01,-3.750948744962411679e-02,1.515628789821027667e+00,7.925574249422003004e-02,2.972090343533249218e-02,-8.127318136648835623e-01,0.000000000000000000e+00
8.541666666666666852e-02,-1.131935640998656262e-01,-3.744758653744961058e-02,1.513904158946159484e+00,7.922563198047070931e-02,2.970961199267650038e-02,-8.328527870968454039e-01,0.000000000000000000e+00
