time,object_a_x,object_a_y,object_a_z,object_a_vx,object_a_vy,object_a_vz,object_b_x,object_b_y,object_b_z,object_b_vx,object_b_vy,object_b_vz,total_translational_ke,total_px,total_py
0.000000000000000000e+00,-3.599999999999999867e-01,0.000000000000000000e+00,7.750000000000000222e-01,1.050000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.599999999999999867e-01,0.000000000000000000e+00,7.750000000000000222e-01,-8.499999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.128749999999998976e-02,4.350000000000000394e-02,0.000000000000000000e+00
2.777777777777777884e-03,-3.570838482037428929e-01,-5.821276589981348589e-15,7.749848206523036742e-01,1.049748876635788308e+00,-4.191319144786570871e-12,2.691216880875708928e-03,3.576392695106046515e-01,-6.633539693320236827e-15,7.749848208405555328e-01,-8.498133134738009575e-01,-4.776148579190570478e-12,2.691352422236073516e-03,7.125479493314341994e-02,4.348860008879288502e-02,-6.637876377822254939e-13
5.555555555555555768e-03,-3.541683981849488849e-01,-1.951082549312013577e-14,7.749881148156365640e-01,1.049499517781700142e+00,-5.250464842167898327e-12,1.199735724865019088e-03,3.552790618708037695e-01,-2.222078291096095092e-14,7.749881150959377907e-01,-8.496283610358478233e-01,-5.977272813295912987e-12,1.199776069899098283e-03,7.122137421371473043e-02,4.347725493820214088e-02,-8.311782045928656933e-13
8.333333333333333218e-03,-3.512536421688609578e-01,-3.640085007913766757e-14,7.749910631885481571e-01,1.049249719911158119e+00,-6.344608462136349799e-12,1.021278790514942164e-03,3.529193693904574824e-01,-4.143667173800105897e-14,7.749910635641632517e-01,-8.494429391362913195e-01,-7.216863141906522997e-12,1.021311972583588759e-03,7.118830129627991277e-02,4.346589844382674900e-02,-1.004026550106662821e-12
1.111111111111111154e-02,-3.483395790443744588e-01,-5.402222643419359530e-14,7.749914855486988996e-01,1.049000320279949605e+00,-6.343395185380740511e-12,6.232195508307052101e-05,3.505601910427564860e-01,-6.147959022553040240e-14,7.749914856523725248e-01,-8.492578850839274107e-01,-7.214974597608200930e-12,6.234555893832975648e-05,7.115524419034163772e-02,4.345455572015981954e-02,-1.003804042540758815e-12
1.388888888888888985e-02,-3.454262094241673520e-01,-7.164027579757959073e-14,7.749915108032912059e-01,1.048750646440457457e+00,-6.342198700053298455e-12,3.835419597997616337e-06,3.482015275250059938e-01,-8.151719949172802218e-14,7.749915108866543001e-01,-8.490725264540630590e-01,-7.213060333646527979e-12,3.839249799998667445e-06,7.112223098489423023e-02,4.344320659239739313e-02,-1.003581503023588596e-12
1.666666666666666644e-02,-3.425135332188544712e-01,-8.925499944860218809e-14,7.749915123028577879e-01,1.048501036576796830e+00,-6.341000928598483122e-12,2.393132175915885229e-07,3.458433788320705582e-01,-1.015494813106218627e-13,7.749915123851659482e-01,-8.488872014342648820e-01,-7.211141549224006836e-12,2.400220099948308095e-07,7.108923348938903097e-02,4.343186120585582066e-02,-1.003358576527303843e-12
1.944444444444444475e-02,-3.396015501987597607e-01,-1.068663909420814312e-13,7.749915123904694836e-01,1.048251511254402191e+00,-6.339800733659724471e-12,1.516188154714048775e-08,3.434857448185589801e-01,-1.215764264918890023e-13,7.749915124733653959e-01,-8.487019306143608333e-01,-7.209219577492790776e-12,1.548406655151046696e-08,7.105625439897753082e-02,4.342052017603454522e-02,-1.003135240678942520e-12
2.222222222222222307e-02,-3.366902601259215699e-01,-1.244744433675480044e-13,7.749915123951272022e-01,1.048002071694816850e+00,-6.338598044848985733e-12,8.741201113632302011e-10,3.411286253307476146e-01,-1.415980263842569863e-13,7.749915124787639664e-01,-8.485167152359438525e-01,-7.207294497154618904e-12,1.152352040179049908e-09,7.102329388349212791e-02,4.340918353837688176e-02,-1.002911493865685802e-12
2.500000000000000139e-02,-3.337796627619982748e-01,-1.420791497848418868e-13,7.749915123950156248e-01,1.047752717933293276e+00,-6.337392857045383185e-12,-6.897012995443763117e-11,3.387720202144806070e-01,-1.616142723658221842e-13,7.749915124794083399e-01,-8.483315553534841458e-01,-7.205366313228430590e-12,2.044248381682933768e-10,7.099035194140099203e-02,4.339785129278735110e-02,-1.002687335927790290e-12
